,Indicador,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
16151,PIB Total,2013-12-23,1/2015,1.94,2.1,0.43,1.21,2.5,,0
16152,PIB Total,2013-12-23,4/2013,1.86,1.9,0.52,0.5,2.97,,0
16153,PIB Total,2013-12-23,3/2014,2.15,2.1,0.56,0.7,3.35,,0
16154,PIB Total,2013-12-23,4/2014,2.16,2.2,0.56,0.5,3.5,,0
16155,PIB Total,2013-12-23,1/2014,2.03,2.2,0.58,0.3,3.24,,0
16156,PIB Total,2013-12-23,2/2014,1.53,1.55,0.83,-1.12,2.8,,0
16157,PIB Total,2013-12-24,3/2014,2.15,2.1,0.56,0.7,3.35,,0
16158,PIB Total,2013-12-24,4/2014,2.16,2.2,0.56,0.5,3.5,,0
16159,PIB Total,2013-12-24,1/2014,2.03,2.2,0.58,0.3,3.24,,0
16160,PIB Total,2013-12-24,2/2014,1.53,1.55,0.83,-1.12,2.8,,0
16161,PIB Total,2013-12-24,1/2015,1.94,2.1,0.43,1.21,2.5,,0
16162,PIB Total,2013-12-24,4/2013,1.86,1.9,0.52,0.5,2.97,,0
16163,PIB Total,2013-12-26,1/2014,2.03,2.2,0.58,0.3,3.24,,0
16164,PIB Total,2013-12-26,2/2014,1.53,1.55,0.83,-1.12,2.8,,0
16165,PIB Total,2013-12-26,1/2015,1.94,2.1,0.43,1.21,2.5,,0
16166,PIB Total,2013-12-26,4/2013,1.86,1.9,0.52,0.5,2.97,,0
16167,PIB Total,2013-12-26,3/2014,2.15,2.1,0.56,0.7,3.35,,0
16168,PIB Total,2013-12-26,4/2014,2.16,2.2,0.56,0.5,3.5,,0
16169,PIB Total,2013-12-27,4/2014,2.16,2.22,0.56,0.5,3.5,,0
16170,PIB Total,2013-12-27,1/2014,2.03,2.2,0.58,0.3,3.24,,0
16171,PIB Total,2013-12-27,2/2014,1.53,1.55,0.83,-1.12,2.8,,0
16172,PIB Total,2013-12-27,1/2015,1.95,2.05,0.41,1.21,2.5,,0
16173,PIB Total,2013-12-27,4/2013,1.86,1.9,0.5,0.5,2.8,,0
16174,PIB Total,2013-12-27,3/2014,2.14,2.06,0.56,0.7,3.35,,0
16175,PIB Total,2013-12-30,2/2014,1.54,1.58,0.82,-1.12,2.8,,0
16176,PIB Total,2013-12-30,1/2015,1.94,2.0,0.4,1.21,2.5,,0
16177,PIB Total,2013-12-30,4/2013,1.86,1.85,0.5,0.5,2.8,,0
16178,PIB Total,2013-12-30,3/2014,2.13,2.04,0.56,0.7,3.35,,0
16179,PIB Total,2013-12-30,4/2014,2.15,2.21,0.55,0.5,3.5,,0
16180,PIB Total,2013-12-30,1/2014,2.01,2.2,0.58,0.3,3.24,,0
16181,PIB Total,2013-12-31,3/2014,2.13,2.04,0.56,0.7,3.35,,0
16182,PIB Total,2013-12-31,4/2014,2.15,2.21,0.55,0.5,3.5,,0
16183,PIB Total,2013-12-31,1/2014,2.01,2.2,0.58,0.3,3.24,,0
16184,PIB Total,2013-12-31,2/2014,1.54,1.58,0.82,-1.12,2.8,,0
16185,PIB Total,2013-12-31,1/2015,1.94,2.0,0.4,1.21,2.5,,0
16186,PIB Total,2013-12-31,4/2013,1.86,1.85,0.5,0.5,2.8,,0
16187,PIB Total,2014-01-02,2/2014,1.54,1.58,0.82,-1.12,2.8,38.0,0
16188,PIB Total,2014-01-02,1/2015,1.94,2.0,0.4,1.21,2.5,15.0,0
16189,PIB Total,2014-01-02,4/2013,1.86,1.85,0.5,0.5,2.8,48.0,0
16190,PIB Total,2014-01-02,3/2014,2.15,2.06,0.56,0.7,3.35,39.0,0
16191,PIB Total,2014-01-02,4/2014,2.19,2.22,0.59,0.5,3.6,37.0,0
16192,PIB Total,2014-01-02,1/2014,2.01,2.2,0.58,0.3,3.24,39.0,0
16193,PIB Total,2014-01-03,2/2014,1.54,1.58,0.82,-1.12,2.8,38.0,0
16194,PIB Total,2014-01-03,1/2015,1.94,2.0,0.4,1.21,2.5,15.0,0
16195,PIB Total,2014-01-03,4/2013,1.85,1.8,0.5,0.5,2.8,47.0,0
16196,PIB Total,2014-01-03,3/2014,2.15,2.06,0.56,0.7,3.35,39.0,0
16197,PIB Total,2014-01-03,4/2014,2.19,2.22,0.59,0.5,3.6,37.0,0
16198,PIB Total,2014-01-03,1/2014,2.01,2.2,0.58,0.3,3.24,39.0,0
16199,PIB Total,2014-01-06,2/2014,1.55,1.6,0.83,-1.12,2.8,37.0,0
16200,PIB Total,2014-01-06,1/2015,1.97,2.05,0.4,1.21,2.5,14.0,0
16201,PIB Total,2014-01-06,4/2013,1.85,1.8,0.51,0.5,2.8,46.0,0
16202,PIB Total,2014-01-06,3/2014,2.15,2.08,0.57,0.7,3.35,38.0,0
16203,PIB Total,2014-01-06,4/2014,2.2,2.26,0.6,0.5,3.6,36.0,0
16204,PIB Total,2014-01-06,1/2014,2.03,2.2,0.57,0.3,3.24,38.0,0
16205,PIB Total,2014-01-07,4/2014,2.2,2.3,0.59,0.5,3.6,37.0,0
16206,PIB Total,2014-01-07,1/2014,2.02,2.2,0.57,0.3,3.24,39.0,0
16207,PIB Total,2014-01-07,2/2014,1.53,1.58,0.83,-1.12,2.8,38.0,0
16208,PIB Total,2014-01-07,1/2015,1.94,2.0,0.4,1.21,2.5,15.0,0
16209,PIB Total,2014-01-07,4/2013,1.85,1.8,0.5,0.5,2.8,47.0,0
16210,PIB Total,2014-01-07,3/2014,2.15,2.1,0.56,0.7,3.35,39.0,0
16211,PIB Total,2014-01-08,4/2014,2.2,2.26,0.59,0.5,3.6,38.0,0
16212,PIB Total,2014-01-08,1/2014,2.01,2.15,0.56,0.3,3.24,40.0,0
16213,PIB Total,2014-01-08,2/2014,1.54,1.6,0.82,-1.12,2.8,39.0,0
16214,PIB Total,2014-01-08,1/2015,1.94,2.0,0.39,1.21,2.5,16.0,0
16215,PIB Total,2014-01-08,4/2013,1.84,1.8,0.49,0.5,2.8,48.0,0
16216,PIB Total,2014-01-08,3/2014,2.15,2.08,0.55,0.7,3.35,40.0,0
16217,PIB Total,2014-01-09,4/2013,1.84,1.87,0.47,0.5,2.8,49.0,0
16218,PIB Total,2014-01-09,3/2014,2.14,2.08,0.52,0.7,3.35,40.0,0
16219,PIB Total,2014-01-09,4/2014,2.19,2.21,0.58,0.5,3.6,38.0,0
16220,PIB Total,2014-01-09,1/2014,2.03,2.1,0.54,0.3,3.4,41.0,0
16221,PIB Total,2014-01-09,2/2014,1.6,1.6,0.71,0.47,2.8,39.0,0
16222,PIB Total,2014-01-09,1/2015,1.96,2.0,0.39,1.21,2.5,17.0,0
16223,PIB Total,2014-01-10,2/2014,1.58,1.58,0.72,0.47,2.8,40.0,0
16224,PIB Total,2014-01-10,1/2015,1.96,2.0,0.39,1.21,2.5,17.0,0
16225,PIB Total,2014-01-10,4/2013,1.85,1.89,0.47,0.5,2.8,48.0,0
16226,PIB Total,2014-01-10,3/2014,2.14,2.08,0.52,0.7,3.35,40.0,0
16227,PIB Total,2014-01-10,4/2014,2.19,2.21,0.58,0.5,3.6,38.0,0
16228,PIB Total,2014-01-10,1/2014,2.01,2.1,0.57,0.3,3.4,42.0,0
16229,PIB Total,2014-01-13,2/2014,1.57,1.5,0.72,0.47,2.8,39.0,0
16230,PIB Total,2014-01-13,1/2015,1.95,2.0,0.38,1.21,2.5,19.0,0
16231,PIB Total,2014-01-13,4/2013,1.87,1.9,0.45,0.5,2.8,46.0,0
16232,PIB Total,2014-01-13,3/2014,2.13,2.06,0.52,0.7,3.35,39.0,0
16233,PIB Total,2014-01-13,4/2014,2.16,2.2,0.58,0.5,3.6,38.0,0
16234,PIB Total,2014-01-13,1/2014,1.96,2.1,0.59,0.3,3.4,41.0,0
16235,PIB Total,2014-01-14,4/2014,2.16,2.2,0.58,0.5,3.6,38.0,0
16236,PIB Total,2014-01-14,1/2014,1.96,2.1,0.59,0.3,3.4,41.0,0
16237,PIB Total,2014-01-14,2/2014,1.57,1.5,0.72,0.47,2.8,39.0,0
16238,PIB Total,2014-01-14,1/2015,1.95,2.0,0.38,1.21,2.5,19.0,0
16239,PIB Total,2014-01-14,4/2013,1.87,1.9,0.45,0.5,2.8,46.0,0
16240,PIB Total,2014-01-14,3/2014,2.13,2.06,0.52,0.7,3.35,39.0,0
16241,PIB Total,2014-01-15,1/2014,1.96,2.1,0.57,0.3,3.4,43.0,0
16242,PIB Total,2014-01-15,2/2014,1.53,1.5,0.7,0.47,2.8,41.0,0
16243,PIB Total,2014-01-15,1/2015,1.92,2.0,0.43,1.0,2.5,21.0,0
16244,PIB Total,2014-01-15,4/2013,1.86,1.89,0.44,0.5,2.8,48.0,0
16245,PIB Total,2014-01-15,3/2014,2.13,2.06,0.52,0.7,3.35,41.0,0
16246,PIB Total,2014-01-15,4/2014,2.12,2.13,0.58,0.5,3.6,40.0,0
16247,PIB Total,2014-01-16,2/2014,1.56,1.5,0.69,0.5,2.8,40.0,0
16248,PIB Total,2014-01-16,1/2015,1.96,2.05,0.41,1.0,2.5,20.0,0
16249,PIB Total,2014-01-16,4/2013,1.89,1.9,0.4,0.8,2.8,46.0,0
16250,PIB Total,2014-01-16,3/2014,2.15,2.08,0.51,0.7,3.35,40.0,0
16251,PIB Total,2014-01-16,4/2014,2.14,2.15,0.57,0.5,3.6,39.0,0
16252,PIB Total,2014-01-16,1/2014,1.97,2.1,0.58,0.3,3.4,42.0,0
16253,PIB Total,2014-01-17,4/2014,2.16,2.18,0.57,0.5,3.6,40.0,0
16254,PIB Total,2014-01-17,1/2014,1.98,2.1,0.58,0.3,3.4,42.0,0
16255,PIB Total,2014-01-17,2/2014,1.59,1.55,0.7,0.5,2.8,41.0,0
16256,PIB Total,2014-01-17,1/2015,1.96,2.05,0.41,1.0,2.5,20.0,0
16257,PIB Total,2014-01-17,4/2013,1.9,1.9,0.39,0.8,2.8,47.0,0
16258,PIB Total,2014-01-17,3/2014,2.17,2.1,0.5,0.7,3.35,41.0,0
16259,PIB Total,2014-01-20,3/2014,2.17,2.08,0.42,1.3,3.35,40.0,0
16260,PIB Total,2014-01-20,4/2014,2.16,2.15,0.47,1.3,3.6,39.0,0
16261,PIB Total,2014-01-20,1/2014,2.01,2.1,0.51,0.8,3.4,41.0,0
16262,PIB Total,2014-01-20,2/2014,1.57,1.53,0.68,0.5,2.8,40.0,0
16263,PIB Total,2014-01-20,1/2015,1.97,2.05,0.42,1.0,2.5,20.0,0
16264,PIB Total,2014-01-20,4/2013,1.91,1.89,0.35,0.9,2.8,46.0,0
16265,PIB Total,2014-01-21,2/2014,1.55,1.5,0.66,0.5,2.8,41.0,0
16266,PIB Total,2014-01-21,1/2015,1.98,2.1,0.41,1.0,2.5,21.0,0
16267,PIB Total,2014-01-21,4/2013,1.91,1.88,0.35,0.9,2.8,47.0,0
16268,PIB Total,2014-01-21,3/2014,2.16,2.06,0.42,1.3,3.35,41.0,0
16269,PIB Total,2014-01-21,4/2014,2.14,2.1,0.47,1.3,3.6,40.0,0
16270,PIB Total,2014-01-21,1/2014,2.0,2.1,0.51,0.8,3.4,42.0,0
16271,PIB Total,2014-01-22,3/2014,2.14,2.04,0.43,1.14,3.0,44.0,0
16272,PIB Total,2014-01-22,4/2014,2.16,2.1,0.52,1.18,3.6,43.0,0
16273,PIB Total,2014-01-22,1/2014,2.0,2.1,0.49,0.8,3.4,45.0,0
16274,PIB Total,2014-01-22,2/2014,1.52,1.5,0.67,0.28,2.8,44.0,0
16275,PIB Total,2014-01-22,1/2015,1.93,2.05,0.45,0.99,2.5,22.0,0
16276,PIB Total,2014-01-22,4/2013,1.87,1.84,0.34,0.9,2.8,50.0,0
16277,PIB Total,2014-01-23,2/2014,1.52,1.5,0.68,0.28,2.8,44.0,0
16278,PIB Total,2014-01-23,1/2015,1.9,2.0,0.47,0.99,2.5,23.0,0
16279,PIB Total,2014-01-23,4/2013,1.85,1.84,0.32,0.9,2.7,50.0,0
16280,PIB Total,2014-01-23,3/2014,2.11,2.04,0.47,0.9,3.0,44.0,0
16281,PIB Total,2014-01-23,4/2014,2.12,2.1,0.59,0.5,3.6,43.0,0
16282,PIB Total,2014-01-23,1/2014,2.02,2.1,0.48,0.8,3.4,45.0,0
16283,PIB Total,2014-01-24,2/2014,1.51,1.5,0.69,0.28,3.0,45.0,0
16284,PIB Total,2014-01-24,1/2015,1.91,2.05,0.46,0.99,2.5,24.0,0
16285,PIB Total,2014-01-24,4/2013,1.85,1.8,0.32,0.9,2.7,51.0,0
16286,PIB Total,2014-01-24,3/2014,2.11,2.0,0.47,0.9,3.0,45.0,0
16287,PIB Total,2014-01-24,4/2014,2.12,2.1,0.59,0.5,3.6,44.0,0
16288,PIB Total,2014-01-24,1/2014,2.02,2.1,0.48,0.8,3.4,46.0,0
16289,PIB Total,2014-01-27,1/2015,1.91,2.1,0.47,0.99,2.5,23.0,0
16290,PIB Total,2014-01-27,4/2013,1.82,1.8,0.3,0.9,2.6,48.0,0
16291,PIB Total,2014-01-27,3/2014,2.11,2.0,0.48,0.9,3.0,43.0,0
16292,PIB Total,2014-01-27,4/2014,2.12,2.1,0.6,0.5,3.6,42.0,0
16293,PIB Total,2014-01-27,1/2014,2.0,2.1,0.48,0.8,3.4,44.0,0
16294,PIB Total,2014-01-27,2/2014,1.48,1.4,0.68,0.28,3.0,43.0,0
16295,PIB Total,2014-01-28,4/2014,2.12,2.1,0.6,0.5,3.6,42.0,0
16296,PIB Total,2014-01-28,1/2014,2.0,2.1,0.48,0.8,3.4,44.0,0
16297,PIB Total,2014-01-28,2/2014,1.48,1.4,0.68,0.28,3.0,43.0,0
16298,PIB Total,2014-01-28,1/2015,1.91,2.1,0.47,0.99,2.5,23.0,0
16299,PIB Total,2014-01-28,4/2013,1.82,1.8,0.3,0.9,2.6,48.0,0
16300,PIB Total,2014-01-28,3/2014,2.11,2.0,0.48,0.9,3.0,43.0,0
16301,PIB Total,2014-01-29,1/2015,1.91,2.1,0.47,0.99,2.5,23.0,0
16302,PIB Total,2014-01-29,4/2013,1.82,1.8,0.3,0.9,2.6,48.0,0
16303,PIB Total,2014-01-29,3/2014,2.11,2.0,0.48,0.9,3.0,43.0,0
16304,PIB Total,2014-01-29,4/2014,2.12,2.1,0.6,0.5,3.6,42.0,0
16305,PIB Total,2014-01-29,1/2014,2.0,2.1,0.48,0.8,3.4,44.0,0
16306,PIB Total,2014-01-29,2/2014,1.48,1.4,0.68,0.28,3.0,43.0,0
16307,PIB Total,2014-01-30,4/2013,1.83,1.8,0.3,0.9,2.6,48.0,0
16308,PIB Total,2014-01-30,3/2014,2.11,2.05,0.48,0.9,3.0,42.0,0
16309,PIB Total,2014-01-30,4/2014,2.13,2.1,0.6,0.5,3.6,41.0,0
16310,PIB Total,2014-01-30,1/2014,2.01,2.1,0.48,0.8,3.4,43.0,0
16311,PIB Total,2014-01-30,2/2014,1.47,1.3,0.69,0.28,3.0,42.0,0
16312,PIB Total,2014-01-30,1/2015,1.91,2.1,0.48,0.99,2.5,22.0,0
16313,PIB Total,2014-01-31,4/2014,2.09,2.1,0.55,0.5,3.5,43.0,0
16314,PIB Total,2014-01-31,1/2014,2.03,2.1,0.45,0.8,3.4,45.0,0
16315,PIB Total,2014-01-31,2/2014,1.46,1.36,0.66,0.28,3.0,44.0,0
16316,PIB Total,2014-01-31,1/2015,1.91,2.1,0.47,0.99,2.5,25.0,0
16317,PIB Total,2014-01-31,4/2013,1.82,1.8,0.28,0.9,2.6,50.0,0
16318,PIB Total,2014-01-31,3/2014,2.08,2.0,0.46,0.9,3.0,44.0,0
16319,PIB Total,2014-02-03,4/2014,2.07,2.0,0.55,0.5,3.5,43.0,0
16320,PIB Total,2014-02-03,1/2014,2.03,2.1,0.44,0.8,3.4,45.0,0
16321,PIB Total,2014-02-03,2/2014,1.46,1.36,0.67,0.28,3.0,44.0,0
16322,PIB Total,2014-02-03,1/2015,1.91,2.1,0.47,0.99,2.5,25.0,0
16323,PIB Total,2014-02-03,4/2013,1.81,1.8,0.29,0.9,2.6,51.0,0
16324,PIB Total,2014-02-03,3/2014,2.08,2.0,0.46,0.9,3.0,44.0,0
16325,PIB Total,2014-02-04,1/2014,2.03,2.1,0.45,0.8,3.4,45.0,0
16326,PIB Total,2014-02-04,2/2014,1.45,1.36,0.67,0.28,3.0,44.0,0
16327,PIB Total,2014-02-04,1/2015,1.91,2.1,0.47,0.99,2.5,25.0,0
16328,PIB Total,2014-02-04,4/2013,1.81,1.8,0.29,0.9,2.6,51.0,0
16329,PIB Total,2014-02-04,3/2014,2.07,2.0,0.46,0.9,3.0,44.0,0
16330,PIB Total,2014-02-04,4/2014,2.07,2.0,0.55,0.5,3.5,43.0,0
16331,PIB Total,2014-02-05,1/2014,2.0,2.1,0.45,0.8,3.4,46.0,0
16332,PIB Total,2014-02-05,2/2014,1.44,1.36,0.67,0.28,3.0,44.0,0
16333,PIB Total,2014-02-05,1/2015,1.91,2.1,0.47,0.99,2.5,25.0,0
16334,PIB Total,2014-02-05,4/2013,1.78,1.8,0.29,0.9,2.6,52.0,0
16335,PIB Total,2014-02-05,3/2014,2.06,2.0,0.46,0.9,3.0,44.0,0
16336,PIB Total,2014-02-05,4/2014,2.08,2.0,0.55,0.5,3.5,43.0,0
16337,PIB Total,2014-02-06,4/2014,2.07,2.0,0.54,0.5,3.5,43.0,0
16338,PIB Total,2014-02-06,1/2014,1.98,2.1,0.46,0.8,3.4,47.0,0
16339,PIB Total,2014-02-06,2/2014,1.47,1.4,0.7,0.28,3.0,45.0,0
16340,PIB Total,2014-02-06,1/2015,1.91,2.1,0.47,0.99,2.5,25.0,0
16341,PIB Total,2014-02-06,4/2013,1.76,1.8,0.29,0.9,2.6,53.0,0
16342,PIB Total,2014-02-06,3/2014,2.08,2.0,0.5,0.9,3.5,45.0,0
16343,PIB Total,2014-02-07,4/2014,2.06,2.0,0.54,0.5,3.5,42.0,0
16344,PIB Total,2014-02-07,1/2014,1.98,2.1,0.46,0.8,3.4,46.0,0
16345,PIB Total,2014-02-07,2/2014,1.48,1.45,0.69,0.28,3.0,44.0,0
16346,PIB Total,2014-02-07,1/2015,1.93,2.1,0.47,0.99,2.5,24.0,0
16347,PIB Total,2014-02-07,4/2013,1.76,1.78,0.29,0.9,2.6,52.0,0
16348,PIB Total,2014-02-07,3/2014,2.08,2.0,0.51,0.9,3.5,44.0,0
16349,PIB Total,2014-02-10,2/2014,1.44,1.36,0.68,0.28,3.0,42.0,0
16350,PIB Total,2014-02-10,1/2015,1.89,2.1,0.49,0.99,2.5,22.0,0
16351,PIB Total,2014-02-10,4/2013,1.72,1.7,0.3,0.9,2.6,49.0,0
16352,PIB Total,2014-02-10,3/2014,2.07,2.0,0.53,0.9,3.5,42.0,0
16353,PIB Total,2014-02-10,4/2014,2.04,2.0,0.58,0.5,3.5,40.0,0
16354,PIB Total,2014-02-10,1/2014,1.94,2.1,0.43,0.8,2.6,44.0,0
16355,PIB Total,2014-02-11,2/2014,1.45,1.33,0.68,0.28,3.0,43.0,0
16356,PIB Total,2014-02-11,1/2015,1.91,2.1,0.49,0.99,2.5,23.0,0
16357,PIB Total,2014-02-11,4/2013,1.72,1.7,0.3,0.9,2.6,50.0,0
16358,PIB Total,2014-02-11,3/2014,2.07,2.0,0.52,0.9,3.5,43.0,0
16359,PIB Total,2014-02-11,4/2014,2.04,2.0,0.57,0.5,3.5,41.0,0
16360,PIB Total,2014-02-11,1/2014,1.97,2.1,0.47,0.8,3.4,45.0,0
16361,PIB Total,2014-02-12,4/2014,2.01,2.0,0.56,0.5,3.5,42.0,0
16362,PIB Total,2014-02-12,1/2014,1.93,2.0,0.45,0.8,3.4,46.0,0
16363,PIB Total,2014-02-12,2/2014,1.39,1.26,0.7,0.28,3.0,44.0,0
16364,PIB Total,2014-02-12,1/2015,1.88,2.0,0.48,0.99,2.5,24.0,0
16365,PIB Total,2014-02-12,4/2013,1.68,1.62,0.31,0.9,2.6,51.0,0
16366,PIB Total,2014-02-12,3/2014,2.01,1.91,0.52,0.9,3.5,44.0,0
16367,PIB Total,2014-02-13,1/2014,1.92,2.0,0.46,0.8,3.4,44.0,0
16368,PIB Total,2014-02-13,2/2014,1.42,1.32,0.7,0.28,3.0,42.0,0
16369,PIB Total,2014-02-13,1/2015,1.87,1.9,0.49,0.99,2.5,23.0,0
16370,PIB Total,2014-02-13,4/2013,1.69,1.62,0.31,0.9,2.6,49.0,0
16371,PIB Total,2014-02-13,3/2014,2.02,1.91,0.52,0.9,3.5,42.0,0
16372,PIB Total,2014-02-13,4/2014,2.02,2.0,0.57,0.5,3.5,40.0,0
16373,PIB Total,2014-02-14,2/2014,1.39,1.26,0.75,-0.3,3.0,44.0,0
16374,PIB Total,2014-02-14,1/2015,1.87,1.9,0.49,0.99,2.5,23.0,0
16375,PIB Total,2014-02-14,4/2013,1.66,1.62,0.34,0.9,2.6,52.0,0
16376,PIB Total,2014-02-14,3/2014,2.0,1.91,0.54,0.9,3.5,44.0,0
16377,PIB Total,2014-02-14,4/2014,2.02,2.0,0.55,0.5,3.5,42.0,0
16378,PIB Total,2014-02-14,1/2014,1.9,2.0,0.53,0.2,3.4,46.0,0
16379,PIB Total,2014-02-17,2/2014,1.34,1.2,0.76,-0.3,3.0,43.0,0
16380,PIB Total,2014-02-17,1/2015,1.91,2.0,0.46,0.99,2.5,22.0,0
16381,PIB Total,2014-02-17,4/2013,1.65,1.6,0.34,0.9,2.6,50.0,0
16382,PIB Total,2014-02-17,3/2014,1.97,1.9,0.54,0.9,3.5,43.0,0
16383,PIB Total,2014-02-17,4/2014,2.06,2.0,0.55,0.5,3.5,41.0,0
16384,PIB Total,2014-02-17,1/2014,1.87,1.94,0.53,0.2,3.4,45.0,0
16385,PIB Total,2014-02-18,1/2014,1.81,1.9,0.55,0.2,3.4,47.0,0
16386,PIB Total,2014-02-18,2/2014,1.27,1.1,0.75,-0.3,3.0,45.0,0
16387,PIB Total,2014-02-18,1/2015,1.83,1.9,0.48,0.7,2.5,25.0,0
16388,PIB Total,2014-02-18,4/2013,1.64,1.6,0.34,0.9,2.6,52.0,0
16389,PIB Total,2014-02-18,3/2014,1.91,1.9,0.53,0.9,3.5,45.0,0
16390,PIB Total,2014-02-18,4/2014,1.99,2.0,0.53,0.5,3.5,43.0,0
16391,PIB Total,2014-02-19,4/2014,1.99,2.0,0.53,0.5,3.5,43.0,0
16392,PIB Total,2014-02-19,1/2014,1.81,1.9,0.55,0.2,3.4,47.0,0
16393,PIB Total,2014-02-19,2/2014,1.27,1.1,0.75,-0.3,3.0,45.0,0
16394,PIB Total,2014-02-19,1/2015,1.83,1.9,0.48,0.7,2.5,25.0,0
16395,PIB Total,2014-02-19,4/2013,1.64,1.6,0.34,0.9,2.6,52.0,0
16396,PIB Total,2014-02-19,3/2014,1.91,1.9,0.53,0.9,3.5,45.0,0
16397,PIB Total,2014-02-20,4/2014,1.99,2.0,0.54,0.5,3.5,44.0,0
16398,PIB Total,2014-02-20,1/2014,1.8,1.85,0.55,0.2,3.4,48.0,0
16399,PIB Total,2014-02-20,2/2014,1.29,1.15,0.77,-0.3,3.0,46.0,0
16400,PIB Total,2014-02-20,1/2015,1.83,1.85,0.48,0.7,2.5,26.0,0
16401,PIB Total,2014-02-20,4/2013,1.62,1.6,0.35,0.8,2.6,54.0,0
16402,PIB Total,2014-02-20,3/2014,1.91,1.9,0.55,0.9,3.5,46.0,0
16403,PIB Total,2014-02-21,1/2015,1.83,1.85,0.48,0.7,2.5,26.0,0
16404,PIB Total,2014-02-21,4/2013,1.6,1.6,0.35,0.8,2.6,54.0,0
16405,PIB Total,2014-02-21,3/2014,1.92,1.9,0.55,0.9,3.5,46.0,0
16406,PIB Total,2014-02-21,4/2014,2.01,2.0,0.56,0.5,3.5,44.0,0
16407,PIB Total,2014-02-21,1/2014,1.79,1.8,0.55,0.2,3.4,48.0,0
16408,PIB Total,2014-02-21,2/2014,1.27,1.15,0.77,-0.3,3.0,46.0,0
16409,PIB Total,2014-02-24,4/2014,2.01,2.0,0.51,0.5,3.13,40.0,0
16410,PIB Total,2014-02-24,1/2014,1.75,1.7,0.55,0.2,3.4,44.0,0
16411,PIB Total,2014-02-24,2/2014,1.28,1.2,0.76,-0.3,3.0,42.0,0
16412,PIB Total,2014-02-24,1/2015,1.89,1.94,0.44,0.7,2.5,24.0,0
16413,PIB Total,2014-02-24,4/2013,1.59,1.6,0.36,0.8,2.6,51.0,0
16414,PIB Total,2014-02-24,3/2014,1.92,1.9,0.54,0.9,3.5,42.0,0
16415,PIB Total,2014-02-25,2/2014,1.28,1.2,0.76,-0.3,3.0,42.0,0
16416,PIB Total,2014-02-25,1/2015,1.89,1.94,0.44,0.7,2.5,24.0,0
16417,PIB Total,2014-02-25,4/2013,1.59,1.6,0.36,0.8,2.6,51.0,0
16418,PIB Total,2014-02-25,3/2014,1.92,1.9,0.54,0.9,3.5,42.0,0
16419,PIB Total,2014-02-25,4/2014,2.01,2.0,0.51,0.5,3.13,40.0,0
16420,PIB Total,2014-02-25,1/2014,1.75,1.7,0.55,0.2,3.4,44.0,0
16421,PIB Total,2014-02-26,4/2014,2.03,2.0,0.55,0.5,3.5,42.0,0
16422,PIB Total,2014-02-26,1/2014,1.75,1.7,0.55,0.2,3.4,46.0,0
16423,PIB Total,2014-02-26,2/2014,1.3,1.2,0.76,-0.3,3.0,44.0,0
16424,PIB Total,2014-02-26,1/2015,1.89,1.94,0.44,0.7,2.5,24.0,0
16425,PIB Total,2014-02-26,4/2013,1.59,1.6,0.36,0.8,2.6,53.0,0
16426,PIB Total,2014-02-26,3/2014,1.94,1.9,0.54,0.9,3.5,44.0,0
16427,PIB Total,2014-02-27,1/2015,1.88,1.94,0.44,0.7,2.5,26.0,0
16428,PIB Total,2014-02-27,3/2014,1.92,1.9,0.54,0.9,3.5,46.0,0
16429,PIB Total,2014-02-27,2/2015,1.52,1.52,0.37,1.15,1.88,2.0,0
16430,PIB Total,2014-02-27,4/2014,2.02,2.0,0.55,0.5,3.5,44.0,0
16431,PIB Total,2014-02-27,1/2014,1.76,1.75,0.54,0.2,3.4,48.0,0
16432,PIB Total,2014-02-27,2/2014,1.28,1.15,0.76,-0.3,3.0,46.0,0
16433,PIB Total,2014-02-28,4/2014,2.0,1.98,0.55,0.5,3.5,45.0,0
16434,PIB Total,2014-02-28,1/2014,1.77,1.8,0.53,0.2,3.4,49.0,0
16435,PIB Total,2014-02-28,2/2014,1.32,1.2,0.75,-0.3,3.0,47.0,0
16436,PIB Total,2014-02-28,1/2015,1.88,1.99,0.43,0.7,2.5,27.0,0
16437,PIB Total,2014-02-28,3/2014,1.93,1.9,0.53,0.9,3.5,47.0,0
16438,PIB Total,2014-02-28,2/2015,1.94,1.95,0.41,1.15,2.5,6.0,0
16439,PIB Total,2014-03-05,4/2014,1.98,1.89,0.57,0.5,3.5,42.0,0
16440,PIB Total,2014-03-05,1/2014,1.77,1.81,0.54,0.2,3.4,46.0,0
16441,PIB Total,2014-03-05,2/2014,1.33,1.2,0.77,-0.3,3.0,44.0,0
16442,PIB Total,2014-03-05,1/2015,1.86,1.99,0.44,0.7,2.5,25.0,0
16443,PIB Total,2014-03-05,3/2014,1.93,1.9,0.55,0.9,3.5,44.0,0
16444,PIB Total,2014-03-05,2/2015,1.88,1.95,0.51,0.99,2.5,8.0,0
16445,PIB Total,2014-03-06,3/2014,1.95,1.9,0.55,0.9,3.5,45.0,0
16446,PIB Total,2014-03-06,2/2015,1.88,1.95,0.51,0.99,2.5,8.0,0
16447,PIB Total,2014-03-06,4/2014,2.01,1.91,0.58,0.5,3.5,43.0,0
16448,PIB Total,2014-03-06,1/2014,1.78,1.9,0.54,0.2,3.4,47.0,0
