,Indicador,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
84,PIB Total,2001-11-29,4/2002,5.4,5.4,0.0,5.4,5.4,,0
85,PIB Total,2001-11-30,4/2001,0.22,0.18,0.87,-1.15,1.8,,0
86,PIB Total,2001-11-30,1/2002,-0.1,0.21,1.56,-3.86,2.3,,0
87,PIB Total,2001-11-30,2/2002,1.22,1.21,1.14,-2.04,3.3,,0
88,PIB Total,2001-11-30,3/2002,2.75,3.05,1.1,0.0,4.44,,0
89,PIB Total,2001-11-30,4/2002,4.18,3.9,0.72,3.65,5.4,,0
90,PIB Total,2001-12-03,4/2001,0.24,0.25,0.87,-1.15,1.8,,0
91,PIB Total,2001-12-03,1/2002,-0.1,0.21,1.56,-3.86,2.3,,0
92,PIB Total,2001-12-03,2/2002,1.22,1.21,1.14,-2.04,3.3,,0
93,PIB Total,2001-12-03,3/2002,2.75,3.05,1.1,0.0,4.44,,0
94,PIB Total,2001-12-03,4/2002,4.18,3.9,0.72,3.65,5.4,,0
95,PIB Total,2001-12-04,4/2001,0.3,0.25,0.98,-1.15,2.8,,0
96,PIB Total,2001-12-04,1/2002,-0.04,0.25,1.64,-3.86,3.0,,0
97,PIB Total,2001-12-04,2/2002,1.17,1.2,1.12,-2.04,3.3,,0
98,PIB Total,2001-12-04,3/2002,2.76,3.1,1.15,0.0,4.7,,0
99,PIB Total,2001-12-04,4/2002,3.9,3.8,0.94,2.5,5.4,,0
100,PIB Total,2001-12-05,4/2001,0.31,0.23,0.96,-1.15,2.8,,0
101,PIB Total,2001-12-05,1/2002,-0.08,0.12,1.58,-3.86,3.0,,0
102,PIB Total,2001-12-05,2/2002,1.19,1.21,1.12,-2.04,3.3,,0
103,PIB Total,2001-12-05,3/2002,2.78,3.1,1.13,0.0,4.7,,0
104,PIB Total,2001-12-05,4/2002,3.75,3.9,1.1,1.65,5.4,,0
105,PIB Total,2001-12-06,4/2001,0.35,0.25,0.94,-1.15,2.8,,0
106,PIB Total,2001-12-06,1/2002,-0.14,0.12,1.54,-3.86,3.0,,0
107,PIB Total,2001-12-06,2/2002,1.23,1.21,1.11,-2.04,3.3,,0
108,PIB Total,2001-12-06,3/2002,2.81,3.1,1.12,0.0,4.7,,0
109,PIB Total,2001-12-06,4/2002,3.4,3.68,0.92,1.65,4.5,,0
110,PIB Total,2001-12-07,4/2001,0.31,0.25,0.94,-1.15,2.8,,0
111,PIB Total,2001-12-07,1/2002,-0.2,0.11,1.53,-3.86,3.0,,0
112,PIB Total,2001-12-07,2/2002,1.15,1.21,1.05,-2.04,3.1,,0
113,PIB Total,2001-12-07,3/2002,2.8,3.1,1.12,0.0,4.7,,0
114,PIB Total,2001-12-07,4/2002,3.39,3.68,0.92,1.65,4.5,,0
115,PIB Total,2001-12-10,4/2001,0.36,0.32,0.91,-1.15,2.8,,0
116,PIB Total,2001-12-10,1/2002,-0.15,0.1,1.47,-3.86,3.0,,0
117,PIB Total,2001-12-10,2/2002,1.26,1.34,1.05,-2.04,3.1,,0
118,PIB Total,2001-12-10,3/2002,2.99,3.1,1.12,0.0,4.7,,0
119,PIB Total,2001-12-10,4/2002,3.44,3.7,0.89,1.65,4.5,,0
120,PIB Total,2001-12-11,4/2001,0.33,0.25,0.93,-1.15,2.8,,0
121,PIB Total,2001-12-11,1/2002,-0.06,0.11,1.46,-3.86,3.0,,0
122,PIB Total,2001-12-11,2/2002,1.32,1.43,1.08,-2.04,3.1,,0
123,PIB Total,2001-12-11,3/2002,3.18,3.19,0.93,0.92,4.7,,0
124,PIB Total,2001-12-11,4/2002,3.48,3.8,0.87,1.65,4.5,,0
125,PIB Total,2001-12-12,4/2001,0.38,0.32,0.84,-1.1,1.8,,0
126,PIB Total,2001-12-12,1/2002,0.01,0.25,1.3,-2.8,2.1,,0
127,PIB Total,2001-12-12,2/2002,1.45,1.5,1.02,-2.04,3.1,,0
128,PIB Total,2001-12-12,3/2002,3.25,3.13,1.13,0.92,6.68,,0
129,PIB Total,2001-12-12,4/2002,3.78,3.9,1.3,1.65,7.78,,0
130,PIB Total,2001-12-13,4/2001,0.38,0.32,0.84,-1.1,1.8,,0
131,PIB Total,2001-12-13,1/2002,0.01,0.25,1.3,-2.8,2.1,,0
132,PIB Total,2001-12-13,2/2002,1.45,1.5,1.02,-2.04,3.1,,0
133,PIB Total,2001-12-13,3/2002,3.25,3.13,1.13,0.92,6.68,,0
